From_Device_ID,To_Device_ID,Event_Type,Message,Time_Stamp
sub_6,,EVENT_CONN_REQUEST,,2024-01-13 20:17:22.990257
,sub_6,EVENT_CONNECTED,,2024-01-13 20:17:22.999981
sub_6,,EVENT_CONN_REQUEST,,2024-01-13 20:34:22.448889
,sub_6,EVENT_CONNECTED,,2024-01-13 20:34:22.450239
sub_6,,EVENT_CONN_REQUEST,,2024-01-13 20:40:56.937419
,sub_6,EVENT_CONNECTED,,2024-01-13 20:40:56.947717
sub_6,,EVENT_CONN_REQUEST,,2024-01-13 20:43:19.622879
,sub_6,EVENT_CONNECTED,,2024-01-13 20:43:19.628421
sub_6,,EVENT_CONN_REQUEST,,2024-01-13 20:44:10.605579
,sub_6,EVENT_CONNECTED,,2024-01-13 20:44:10.606599
sub_6,,EVENT_CONN_REQUEST,,2024-01-13 20:47:32.257570
,sub_6,EVENT_CONNECTED,,2024-01-13 20:47:32.258597
sub_6,,EVENT_CONN_REQUEST,,2024-01-13 20:50:56.463261
,sub_6,EVENT_CONNECTED,,2024-01-13 20:50:56.470811
sub_6,,EVENT_CONN_REQUEST,,2024-01-13 20:51:29.566236
,sub_6,EVENT_CONNECTED,,2024-01-13 20:51:29.567353
